醫院名稱,科別,門診連結位置,狀態,備註
高雄醫學大學附設醫院-高醫岡山醫院,"心臟血管內科,肝膽內科",https://www.kmugh.org.tw/web/kmugh/MedicalService/OPDSchedule,啟用,HTML
高雄醫學大學附設中和紀念醫院,全科,https://www.kmuh.org.tw/KMUHInterWeb/InterWeb/InnerPage/1001124048,啟用,PDF
